cod_municipio,municipio,mesorregiao,populacao,n_ocorrencias,n_crime_rua,taxa_100k,taxa_crime_rua_100k
4318804.0,SAO LOURENCO DO SUL,Sudeste Rio-grandense,41989.0,7537,2708,4487.48481745219,1612.3270380337708
4313391.0,NOVO CABRAIS,Centro Oriental Rio-grandense,3568.0,639,151,4477.298206278027,1058.0156950672645
4320305.0,SELBACH,Noroeste Rio-grandense,5107.0,910,221,4454.670060700999,1081.8484433130996
4321352.0,TAVARES,Metropolitana de Porto Alegre,5212.0,926,330,4441.673062164236,1582.8856485034535
4310850.0,JABOTICABA,Noroeste Rio-grandense,3779.0,669,151,4425.7740142894945,998.9415189203493
4305173.0,CERRO GRANDE DO SUL,Metropolitana de Porto Alegre,9178.0,1623,405,4420.897799084768,1103.1815210285465
4306551.0,DOM PEDRO DE ALCANTARA,Metropolitana de Porto Alegre,2562.0,452,93,4410.616705698673,907.4941451990632
4322301.0,TUPARENDI,Noroeste Rio-grandense,8363.0,1469,319,4391.366734425445,953.6051656104269
4322855.0,VESPASIANO CORREA,Centro Oriental Rio-grandense,1818.0,319,67,4386.6886688668865,921.3421342134212
4300034.0,ACEGUA,Sudoeste Rio-grandense,4170.0,731,185,4382.494004796163,1109.1127098321344
4322103.0,TUCUNDUVA,Noroeste Rio-grandense,5542.0,971,297,4380.18765788524,1339.7690364489354
4303301.0,CAIBATE,Noroeste Rio-grandense,4704.0,823,151,4373.937074829932,802.5085034013606
4312807.0,NOVA ARACA,Nordeste Rio-grandense,4954.0,866,275,4370.205894226888,1387.7674606378685
4317558.0,SANTO ANTONIO DO PALMA,Noroeste Rio-grandense,2091.0,365,97,4363.940698230512,1159.7321855571497
4314159.0,PAVERAMA,Centro Oriental Rio-grandense,7978.0,1388,385,4349.461017798947,1206.4427174730508
4303558.0,CAMARGO,Noroeste Rio-grandense,2981.0,518,148,4344.179805434418,1241.1942301241195
4317954.0,SANTO EXPEDITO DO SUL,Noroeste Rio-grandense,2349.0,407,89,4331.6304810557685,947.2115793954874
4306734.0,DOUTOR MAURICIO CARDOSO,Noroeste Rio-grandense,4470.0,772,198,4317.673378076062,1107.3825503355706
4309902.0,IBIRAIARAS,Noroeste Rio-grandense,6776.0,1169,282,4313.01652892562,1040.4368358913814
4316303.0,ROQUE GONZALES,Noroeste Rio-grandense,6576.0,1129,254,4292.122871046228,965.6326034063261
4305124.0,CERRITO,Sudeste Rio-grandense,5808.0,997,294,4291.494490358127,1265.495867768595
4314134.0,PAULO BENTO,Noroeste Rio-grandense,2144.0,368,93,4291.044776119403,1084.4216417910447
4309159.0,GRAMADO XAVIER,Centro Oriental Rio-grandense,3304.0,566,151,4282.687651331719,1142.554479418886
4300059.0,AGUA SANTA,Noroeste Rio-grandense,3912.0,662,172,4230.572597137015,1099.1820040899795
4312450.0,MORRO REDONDO,Sudeste Rio-grandense,6046.0,1023,303,4230.069467416473,1252.8944756864041
4319307.0,SAO PAULO DAS MISSOES,Noroeste Rio-grandense,5846.0,987,177,4220.834758809442,756.9278138898393
4314027.0,PARAISO DO SUL,Centro Oriental Rio-grandense,6519.0,1098,287,4210.768522779567,1100.62893081761
