tipo,registros,macro
PERIGO A VIDA/SAUDE DE OUTREM,102,OUTROS
SEQUESTRO RELAMPAGO,100,OUTROS
CRIMES CONTRA A FLORA,88,OUTROS
OUTROS CRIMES CONTRA MEIO AMBIENTE,86,OUTROS
EXERCICIO ARBITRARIO OU ABUSO DE PODER,82,OUTROS
DIRECAO PERIGOSA (RACHA) ART 308,81,TRANSITO
ROUBO A RESIDENCIA COM LESOES,78,ROUBO_OUTROS
SUBTRACAO DE INCAPAZ,77,OUTROS
FAVORECIMENTO REAL,76,OUTROS
PRECONCEITO ETNIA PROCEDENCIA NACIONAL,75,HONRA_DISCRIM
ORGANIZACAO CRIMINOSA ART 2 DA LEI 12850 DE 2013,72,OUTROS
ROUBO A MOTORISTA DE TAXI,71,ROUBO_OUTROS
CONDUTAS RELAC. A PEDOFILIA NA INTERNET E OTR MEIOS DE COMUNIC.,67,OUTROS
ENTORPECENTE  ASSOCIACAO,66,OUTROS
ASSOCIACAO CRIMINOSA ART 288 DO CP,66,OUTROS
TRAFEGAR COM VELOCIDADE INCOMPATIVEL COM A SEGURANCA ART.311,60,OUTROS
FURTO DE CARGA EM CAMINHAO,60,FURTO_OUTROS
AMEACA A ESTABELECIMENTO DE ENSINO,57,AMEACA_VD
OMISSAO SOCORRO ART 135 CP,57,OUTROS
MORTE DECORRENTE DE OPOSICAO A INTERVENCAO POLICIAL,55,OUTROS
OUTROS CRIMES CONTRA O PATRIMONIO,53,DANO
EXTORSAO MEDIANTE SEQUESTRO,51,ROUBO_OUTROS
ROUBO A ESTABELECIMENTO COMERCIAL COM LESOES,51,ROUBO_OUTROS
CRIMES DA LEI GERAL DO ESPORTE,49,OUTROS
FALSO TESTEMUNHO OU FALSA PERICIA,47,FRAUDE
HOMICIDIO CULPOSO,45,OUTROS
ROUBO A MOTORISTA DE CARGA DE CAMINHAO,45,ROUBO_VEICULO
INTIMIDACAO  CYBERBULLYING,42,OUTROS
ROUBO A PEDESTRE ESCOLAR,40,ROUBO_RUA
INJURIA QUALIFICADA  RACA COR ETNIA RELIGIAO OU ORIGEM,40,HONRA_DISCRIM
DESLEIXO EM INFORMACOES AO CONSUMIDOR,38,OUTROS
HOMICIDIO DECORRENTE DE OPOSICAO A INTERVENCAO POLICIAL,36,OUTROS
FURTO/ARROMBAMENTO ESTABELECIMENTO BANCARIO,35,FURTO_ARROMBAMENTO
VIOLACAO DE CORRESPONDENCIA,33,OUTROS
FURTO PRIVILEGIADO,32,FURTO_OUTROS
ROUBO A MOTORISTA COM LESOES,30,ROUBO_OUTROS
CRIME CONTRA A ORDEM TRIBUTARIA - LEI 8137/90,30,OUTROS
INJURIA REAL,29,HONRA_DISCRIM
PROMOVER TUMULTO PRATICAR OU INCITAR A VIOLENCIA OU INVADIR LOCAL RESTRITO AOS COMPETIDORES EM EVENTOS ESPORTIVOS  ART 41 B ESTATUTO REVOGADO PELA LEI N 14597 DE 2023,29,OUTROS
CRIMES DE TORTURA   LEI 9455 DE 1997,29,OUTROS
VIOLACAO DE SIGILO FUNCIONAL,29,OUTROS
OUTROS CRIMES CONTRA A ORGANIZACAO DO TRABALHO,29,OUTROS
ROUBO DE ARMA,28,ROUBO_OUTROS
PECULATO,28,OUTROS
VIOLACAO SEXUAL MEDIANTE FRAUDE,28,FRAUDE
CORRUPCAO ATIVA,28,OUTROS
INCITACAO AO CRIME,27,OUTROS
ROUBO A MOTORISTA DE LOTACAO,27,ROUBO_OUTROS
FEMINICIDIO,27,CVLI
APOLOGIA AO NAZISMO,26,OUTROS
COMERCIO ILEGAL DE ARMA DE FOGO,25,ARMAS
OMISSAO DE SOCORRO CONTRA O IDOSO,24,OUTROS
VIOLACAO DE DIREITO AUTORAL (PLAGIO),24,OUTROS
CONDICIONAMENTO DE ATENDIMENTO MEDICO HOSPITALAR EMERGENCIAL,24,OUTROS
OUTROS CRIMES CONTRA A FE PUBLICA,23,OUTROS
DISCRIMINACAO A PESSOA COM DEFICIENCIA,23,OUTROS
INSERCAO DE DADOS FALSOS EM SISTEMA DE INFORMACOES,22,OUTROS
LESAO CORPORAL GRAVISSIMA,22,LESAO
SATISFACAO DE LASCIVIA MEDIANTE PRESENCA DE CRIANCA OU ADOLESCENTE,21,OUTROS
CORRUPCAO PASSIVA,20,OUTROS
CRIME ELEITORAL,20,OUTROS
LESAO CORPORAL SEGUIDA DE MORTE,20,LESAO
EXTRAVIO SONEGACAO OU INUTILIZACAO DE LIVRO OU DOCUMENTO,19,OUTROS
FRAUDE NO COMERCIO,18,FRAUDE
PREVARICACAO,17,OUTROS
RIXA,17,OUTROS
ALTERACAO LIMITES DIVISORIOS,16,OUTROS
DISCRIMINACAO CONTRA O IDOSO,15,OUTROS
OUTROS CRIMES CONTRA A INCOLUMIDADE PUBLICA,15,OUTROS
OUTROS CRIMES CONTRA A FAMILIA,15,OUTROS
FORNECER PRODUTOS CRIANCA/ADOLESCENTE QUE CAUSAM DEPENDENCIA,15,OUTROS
OMISSAO DE SOCORRO  ART 304 DO CTB,15,TRANSITO
OUTROS CRIMES CONTRA A LIBERDADE INDIVIDUAL,14,OUTROS
NEGAR INFORMACOES AO CONSUMIDOR,14,OUTROS
ROUBO COM MORTE,13,ROUBO_OUTROS
EXPLORACAO SEXUAL INFANTO-JUVENIL,13,OUTROS
CORRUPCAO DE MENORES,12,OUTROS
SERVIR BEBIDA ALCOOLICA A VULNERAVEIS,12,OUTROS
MOTIM DE PRESOS,12,OUTROS
ABANDONO INTELECTUAL,12,OUTROS
CRIME CONTRA A ADMINISTRACAO AMBIENTAL,12,OUTROS
ABUSO DE INCAPAZ,11,OUTROS
ABORTO,11,OUTROS
CONCUSSAO,10,OUTROS
OUTROS CRIMES CONTRA O SENTIMENTO RELIGIOSO,9,OUTROS
FAVORECIMENTO DA PROSTITUICAO OU DE OUTRA FORMA DE EXPLORACAO SEXUAL DE CRIANCA OU ADOLESCENTE OU DE VULNERAVEL,9,OUTROS
RECUSA DE DADOS SOBRE A PROPRIA IDENTIFICACAO OU QUALIFICACAO,8,OUTROS
CRIME CONTRA SEGURANCA NACIONAL  LEI 71701983  ART 15 PRATICAR SABOTAGEM CONTRA INSTALACOES MILITARES MEIOS DE COMUNICACOES MEIOS E VIAS DE TRANSPORTE ESTALEIROS PORTOS AEROPORTOS FABRICAS USINAS BARRAGEM DEPOSITOS E OUTRAS INSTALACOES CONGENERES,8,OUTROS
ABANDONO DE PESSOA COM DEFICIENCIA,8,OUTROS
FALSIFICAO DE MEDICAMENTO  ART 273 CP,8,OUTROS
FRAUDE PROCESSUAL,7,FRAUDE
HOMICIDIO DOLOSO NA DIRECAO DE VEICULO AUTOMOTOR,7,CVLI
LESAO CORPORAL DECORRENTE DE OPOSICAO A INTERVENCAO POLICIAL,7,LESAO
ROUBO A JOALHERIAS E OTICAS,7,ROUBO_OUTROS
USURPACAO DE FUNCAO PUBLICA,7,OUTROS
MAUS TRATOS CONTRA ANIMAIS,7,AMEACA_VD
FAVORECIMENTO PESSOAL,7,OUTROS
ROUBO A MALOTE,6,ROUBO_OUTROS
FRAUDE NO PAGAMENTO POR MEIO DE CHEQUE,6,FRAUDE
APROPRIACAO DE BENS DE PESSOA COM DEFICIENCIA,6,FRAUDE
CRIMES CONTRA O SISTEMA FINANCEIRO - LEI 7492/86,6,OUTROS
OUTROS CRIMES CONTRA A PROPRIEDADE IMATERIAL,6,OUTROS
ATENTADO CONTRA SEGURANCA SERV UTILIDADE PUBLICA,6,OUTROS
ROUBO A ESTABELEC. DE ENSINO,5,ROUBO_OUTROS
CONCORRENCIA DESLEAL,5,OUTROS
APOLOGIA DE CRIME OU CRIMINOSO,5,OUTROS
FACILITACAO DE CONTRABANDO OU DESCAMINHO,5,OUTROS
DISPOR COISA ALHEIA COMO PROPRIA,5,OUTROS
SUBTRACAO OU INUTILIZACAO DE LIVRO OU DOCUMENTO,5,OUTROS
OMISSAO NO TERMO DE GARANTIA,4,OUTROS
FRAUDE A CREDORES,4,FRAUDE
INDUZIMENTO INSTIGAO AUXILIO AO SUICIDIO OU A AUTOMULTILAO,4,OUTROS
RUFIANISMO,4,OUTROS
FURTO/ARROMBAMENTO A CAIXA ELETRONICO,4,FURTO_ARROMBAMENTO
PROPAGANDA ENGANOSA,4,OUTROS
FURTO VEICULO AUTOMOTOR TRANSPORTE OUTRO ESTADO,4,FURTO_OUTROS
REDUCAO A CONDICAO ANALOGA A DE ESCRAVO,4,OUTROS
FEMINICIDIO ART 121 PAR 2 VI,3,CVLI
INFRACAO DE MEDIDA SANITARIA PREVENTIVA,3,OUTROS
ROUBO DE VEICULO COM MORTE,3,ROUBO_VEICULO
ROUBO A RESIDENCIA COM MORTE,3,ROUBO_OUTROS
USO ILEGITIMO DE UNIFORME OU DISTINTIVO,3,OUTROS
ATIVIDADE CLANDESTINA DE TELECOMUNICACOES,3,OUTROS
ATIVIDADE(S) COM RISCOS A SEGURANCA,3,OUTROS
VENDER INGRESSOS DE EVENTO ESPORTIVO POR PRECO SUPERIOR AO ESTAMPADO NO BILHETE ART 41 F  ESTATUTO REVOGADO PELA LEI N 14597 DE 2023,3,OUTROS
